first_day,sensor_id,sensor_file,file_url,sensor_type,location,lat,lon,timestamp,pressure,altitude,pressure_sealevel,temperature,humidity,P1,durP1,ratioP1,P2,durP2,ratioP2,P0
2019-01-01,1001,2019-01-01_dht22_sensor_1001.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_1001.csv,DHT22,489,47.805,12.858,2019-01-01T00:03:00Z,NA,NA,NA,7.3,74.8,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10010,2019-01-01_dht22_sensor_10010.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10010.csv,DHT22,5044,48.653,9.25,2019-01-01T12:49:57Z,NA,NA,NA,5,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10012,2019-01-01_dht22_sensor_10012.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10012.csv,DHT22,5045,48.252,10.9,2019-01-01T00:01:49Z,NA,NA,NA,3.6,81.1,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10026,2019-01-01_dht22_sensor_10026.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10026.csv,DHT22,5052,50.859,12.073,2019-01-01T11:48:43Z,NA,NA,NA,8.8,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10030,2019-01-01_dht22_sensor_10030.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10030.csv,DHT22,5055,52.055,8.524,2019-01-01T00:01:40Z,NA,NA,NA,7.8,97,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10032,2019-01-01_dht22_sensor_10032.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10032.csv,DHT22,5056,44.272,19.892,2019-01-01T00:00:31Z,NA,NA,NA,3.3,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10036,2019-01-01_dht22_sensor_10036.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10036.csv,DHT22,5058,50.493,12.129,2019-01-01T00:00:45Z,NA,NA,NA,6.7,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10040,2019-01-01_dht22_sensor_10040.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10040.csv,DHT22,5060,49.469,11.023,2019-01-01T00:01:17Z,NA,NA,NA,7.3,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10042,2019-01-01_dht22_sensor_10042.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10042.csv,DHT22,5061,49.068,12.058,2019-01-01T00:02:11Z,NA,NA,NA,5.5,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10044,2019-01-01_dht22_sensor_10044.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10044.csv,DHT22,5062,49.351,7.642,2019-01-01T00:01:33Z,NA,NA,NA,7.7,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10046,2019-01-01_dht22_sensor_10046.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10046.csv,DHT22,5063,50.878,4.741,2019-01-01T00:00:06Z,NA,NA,NA,8.7,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,1005,2019-01-01_dht22_sensor_1005.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_1005.csv,DHT22,491,53.481,10.174,2019-01-01T00:01:55Z,NA,NA,NA,9,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10051,2019-01-01_dht22_sensor_10051.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10051.csv,DHT22,5065,46.943,7.432,2019-01-01T00:00:21Z,NA,NA,NA,7,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10057,2019-01-01_dht22_sensor_10057.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10057.csv,DHT22,5068,51.287,7.518,2019-01-01T00:00:32Z,NA,NA,NA,11.8,70.1,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10062,2019-01-01_dht22_sensor_10062.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10062.csv,DHT22,5070,52.382,5.271,2019-01-01T00:01:33Z,NA,NA,NA,18.7,51,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10070,2019-01-01_dht22_sensor_10070.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10070.csv,DHT22,5074,53.72,10.013,2019-01-01T00:00:50Z,NA,NA,NA,7.5,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10073,2019-01-01_dht22_sensor_10073.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10073.csv,DHT22,5075,51.406,6.698,2019-01-01T00:00:59Z,NA,NA,NA,8.6,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10083,2019-01-01_dht22_sensor_10083.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10083.csv,DHT22,5080,48.528,8.078,2019-01-01T02:01:26Z,NA,NA,NA,7.8,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10085,2019-01-01_dht22_sensor_10085.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10085.csv,DHT22,8627,52.229,9.845,2019-01-01T00:01:05Z,NA,NA,NA,8.2,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10089,2019-01-01_dht22_sensor_10089.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10089.csv,DHT22,5083,49.87,8.664,2019-01-01T00:00:01Z,NA,NA,NA,21.4,42.6,NA,NA,NA,NA,NA,NA,NA
2019-01-01,1009,2019-01-01_dht22_sensor_1009.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_1009.csv,DHT22,493,52.001,8.494,2019-01-01T00:00:42Z,NA,NA,NA,7.6,90.4,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10105,2019-01-01_dht22_sensor_10105.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10105.csv,DHT22,5092,53.09,7.569,2019-01-01T00:01:08Z,NA,NA,NA,8.4,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,10113,2019-01-01_dht22_sensor_10113.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_dht22_sensor_10113.csv,DHT22,5096,51.364,6.787,2019-01-01T00:01:54Z,NA,NA,NA,8.2,99.9,NA,NA,NA,NA,NA,NA,NA
2019-01-01,1000,2019-01-01_sds011_sensor_1000.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_1000.csv,SDS011,489,47.805,12.858,2019-01-01T00:02:59Z,NA,NA,NA,NA,NA,124.25,NA,NA,97.67,NA,NA,NA
2019-01-01,10001,2019-01-01_sds011_sensor_10001.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10001.csv,SDS011,5040,42.67,23.268,2019-01-01T00:00:11Z,NA,NA,NA,NA,NA,149.57,NA,NA,77.43,NA,NA,NA
2019-01-01,10003,2019-01-01_sds011_sensor_10003.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10003.csv,SDS011,5041,42.655,23.383,2019-01-01T00:03:42Z,NA,NA,NA,NA,NA,110.97,NA,NA,62,NA,NA,NA
2019-01-01,10005,2019-01-01_sds011_sensor_10005.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10005.csv,SDS011,5042,42.626,23.381,2019-01-01T00:00:10Z,NA,NA,NA,NA,NA,139.5,NA,NA,80.33,NA,NA,NA
2019-01-01,10007,2019-01-01_sds011_sensor_10007.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10007.csv,SDS011,5043,41.767,26.204,2019-01-01T00:04:59Z,NA,NA,NA,NA,NA,34.93,NA,NA,23.7,NA,NA,NA
2019-01-01,10009,2019-01-01_sds011_sensor_10009.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10009.csv,SDS011,5044,48.653,9.25,2019-01-01T11:39:32Z,NA,NA,NA,NA,NA,7.4,NA,NA,3.77,NA,NA,NA
2019-01-01,10011,2019-01-01_sds011_sensor_10011.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10011.csv,SDS011,5045,48.252,10.9,2019-01-01T00:01:46Z,NA,NA,NA,NA,NA,312.23,NA,NA,152.4,NA,NA,NA
2019-01-01,10013,2019-01-01_sds011_sensor_10013.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10013.csv,SDS011,7178,20.595,-100.397,2019-01-01T00:00:09Z,NA,NA,NA,NA,NA,8.78,NA,NA,7.9,NA,NA,NA
2019-01-01,10015,2019-01-01_sds011_sensor_10015.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10015.csv,SDS011,5047,53.174,8.675,2019-01-01T09:47:55Z,NA,NA,NA,NA,NA,282.93,NA,NA,258.77,NA,NA,NA
2019-01-01,10023,2019-01-01_sds011_sensor_10023.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10023.csv,SDS011,5051,44.109,27.266,2019-01-01T00:00:16Z,NA,NA,NA,NA,NA,80.23,NA,NA,36.73,NA,NA,NA
2019-01-01,10025,2019-01-01_sds011_sensor_10025.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10025.csv,SDS011,5052,50.859,12.073,2019-01-01T11:48:44Z,NA,NA,NA,NA,NA,4.23,NA,NA,3,NA,NA,NA
2019-01-01,10029,2019-01-01_sds011_sensor_10029.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10029.csv,SDS011,5055,52.055,8.524,2019-01-01T00:01:39Z,NA,NA,NA,NA,NA,1.03,NA,NA,1.03,NA,NA,NA
2019-01-01,10031,2019-01-01_sds011_sensor_10031.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10031.csv,SDS011,5056,44.272,19.892,2019-01-01T00:00:30Z,NA,NA,NA,NA,NA,49.57,NA,NA,35.97,NA,NA,NA
2019-01-01,10035,2019-01-01_sds011_sensor_10035.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10035.csv,SDS011,5058,50.493,12.129,2019-01-01T00:00:44Z,NA,NA,NA,NA,NA,27.87,NA,NA,22.27,NA,NA,NA
2019-01-01,10039,2019-01-01_sds011_sensor_10039.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10039.csv,SDS011,5060,49.469,11.023,2019-01-01T00:01:17Z,NA,NA,NA,NA,NA,105.57,NA,NA,72.07,NA,NA,NA
